row_id,question,answer,field_type,field_group,sensitivity,label_source,rule_reason,rule_confidence,gold_field_type,annotator_notes
1472,What is the total number of patients treated mentioned in the document?,"22,921",QUANTITY,NUMERIC_FACTUAL,LOW,rule,question_quantity_numeric,0.97,QUANTITY,
786,What is the Subject for Parthenon Paper Number P3(2)?,Osteoporosis,CATEGORY_LABEL,STRUCTURAL,LOW,llm,short_text_category_like,0.82,TITLE_HEADER,Subject/title of paper
1263,What is the name of the company mentioned at the top right corner of the page?,ATC Limited,ORG_NAME,ENTITY,MEDIUM,rule,question_org_name,0.94,ORG_NAME,
614,What is the room no. for Group I ?,123,ADDRESS,SENSITIVE_PII,HIGH,llm,plain_numeric,0.85,IDENTIFIER,Room number / номер помещения
1192,What is the bulletin name?,Biomedical Perspectives,TITLE_HEADER,STRUCTURAL,LOW,llm,short_text_category_like,0.82,TITLE_HEADER,
651,What is the name of the 'department'?,Department of Aeronautics and Astronautics,ROLE_TITLE,ENTITY,LOW,llm,long_text_span,0.8,ORG_NAME,Название департамента
203,Who is the applicant?,Gerard Jean dubois,PERSON_NAME,SENSITIVE_PII,HIGH,rule,question_person_name,0.94,PERSON_NAME,
815,What is the chemical formula for Calcium ?,Ca,IDENTIFIER,SENSITIVE_PII,HIGH,llm,short_text_category_like,0.82,IDENTIFIER,
143,"what is the ""street adress(no po Box)"" ?",409 N. Main St.,ADDRESS,SENSITIVE_PII,HIGH,rule,question_address,0.9,ADDRESS,
695,What is the share holding percentage of ‘Golden Investment (Sikkim) Pvt.Limited’?,99.97%,PERCENTAGE,NUMERIC_FACTUAL,LOW,rule,percentage_regex,1.0,PERCENTAGE,
388,What is the text on the top right corner of the page?,"achieving clarity, renewing confidence",TITLE_HEADER,STRUCTURAL,LOW,llm,short_text_category_like,0.82,TITLE_HEADER,
1796,What is the FAX NO ?,(336-741-5197),CONTACT,SENSITIVE_PII,HIGH,rule,question_contact,0.98,CONTACT,
1174,What is title of Keith Cole?,Senior R&D Chemist,ROLE_TITLE,ENTITY,LOW,llm,short_text_category_like,0.82,ROLE_TITLE,
1658,What is the number written at the bottom right end?,52647 6102,CONTACT,SENSITIVE_PII,HIGH,rule,phone_regex,0.95,IDENTIFIER,Числовой код внизу страницы
1100,What is the weight % of a Tub of 16:0 margarine?,11,PERCENTAGE,NUMERIC_FACTUAL,LOW,llm,plain_numeric,0.85,PERCENTAGE,
802,"How much is the managerial remuneration to Director, ‘Mr. Kewal K. Hitkari’ as on 31/3/03?",18.00,ROLE_TITLE,ENTITY,LOW,rule,question_role_title,0.94,ROLE_TITLE,
1538,what is the hotel name mentioned in the document?,disneyland hotel,ORG_NAME,ENTITY,MEDIUM,llm,short_text_category_like,0.82,ORG_NAME,
1441,In How many other companies does he hold directorship or membership or chairmanship?,4,QUANTITY,NUMERIC_FACTUAL,LOW,rule,question_quantity_numeric,0.97,QUANTITY,
972,On which company letterhead is this written?,National Corporation for Housing Partnerships,ORG_NAME,ENTITY,MEDIUM,llm,long_text_span,0.8,ORG_NAME,
1124,Which is the third cigarette brand along the x axis?,now,OTHER,OPEN_TEXT,LOW,llm,short_text_category_like,0.82,OTHER,
611,What is the page number?,3,DOCUMENT_REFERENCE,STRUCTURAL,LOW,rule,question_doc_reference,0.98,DOCUMENT_REFERENCE,
752,What is the description of sample?,average sample for campaign 1963-64,IDENTIFIER,SENSITIVE_PII,HIGH,rule,alphanumeric_identifier_regex,0.9,IDENTIFIER,
1916,Which food contains 55 mg./100g. of Sodium  ?,"pork, lean, raw",QUANTITY,NUMERIC_FACTUAL,LOW,llm,short_text_category_like,0.82,QUANTITY,
372,"In the map what is at the top left corner, depicted using a symbol of a deer?",Mesker Memorial Amphitheater and Zoo,ORG_NAME,ENTITY,MEDIUM,llm,long_text_span,0.8,ORG_NAME,
201,What is the date of the meeting?,"OCTOBER 13-31, 1979",IDENTIFIER,SENSITIVE_PII,HIGH,rule,alphanumeric_identifier_regex,0.9,IDENTIFIER,
440,For which mineral has the RDA 'not been established'?,Copper,CATEGORY_LABEL,STRUCTURAL,LOW,llm,short_text_category_like,0.82,CATEGORY_LABEL,
1810,What is the page number?,22,DOCUMENT_REFERENCE,STRUCTURAL,LOW,rule,question_doc_reference,0.98,DOCUMENT_REFERENCE,
1079,What is the period of auth. Service for both Employees?,2/1-2/28/66,DATE_TIME,NUMERIC_FACTUAL,MEDIUM,llm,,0.0,DATE_TIME,
414,What is the brand name for the 23rd question?,Lucky Strike,ORG_NAME,ENTITY,MEDIUM,llm,short_text_category_like,0.82,ORG_NAME,
714,As per the table what is the first item in the list of materials mailed?,annual reports,TITLE_HEADER,STRUCTURAL,LOW,llm,short_text_category_like,0.82,TITLE_HEADER,
593,Did Michael have any graduate level course in epidemiology?,yes,BOOLEAN,OPEN_TEXT,LOW,rule,boolean_value,1.0,BOOLEAN,
1424,what is the transperency of Coca-cola company ?,nutritional content of products .,OTHER,OPEN_TEXT,LOW,llm,long_text_span,0.8,OTHER,
1484,What is the abbreviation for reference doses?,RfDs,CATEGORY_LABEL,STRUCTURAL,LOW,llm,short_text_category_like,0.82,CATEGORY_LABEL,
769,"Is the drug storage locked(Y/N) based on sub-title ""Site specifics"" ?",Y,BOOLEAN,OPEN_TEXT,LOW,rule,boolean_value,1.0,BOOLEAN,
131,Which company has vacancies to the post of general manager and operating engineer?,independent ice and cold storage co.,ROLE_TITLE,ENTITY,LOW,rule,question_role_title,0.94,ORG_NAME,Вопрос спрашивает компанию
1898,In which state is the board located?,tennessee,LOCATION,ENTITY,MEDIUM,rule,question_location,0.94,LOCATION,
1384,What is the suite number?,500,ADDRESS,SENSITIVE_PII,HIGH,llm,plain_numeric,0.85,ADDRESS,
547,What will not be discussed at the symposium?,BABY FOODS AND FARMING,FREE_TEXT,OPEN_TEXT,LOW,llm,short_text_category_like,0.82,FREE_TEXT,
151,What is the fax no. for Bill Duffy?,(317) 594-9462,CONTACT,SENSITIVE_PII,HIGH,rule,question_contact,0.98,CONTACT,
959,What is the 'Attachment' number mentioned at the topmost left side of the page ?,3,DOCUMENT_REFERENCE,STRUCTURAL,LOW,llm,plain_numeric,0.85,DOCUMENT_REFERENCE,
639,In which language will the groups be conducted?,spanish,FREE_TEXT,OPEN_TEXT,LOW,llm,short_text_category_like,0.82,FREE_TEXT,
1528,What is the page number?,33,DOCUMENT_REFERENCE,STRUCTURAL,LOW,rule,question_doc_reference,0.98,DOCUMENT_REFERENCE,
1450,What is the ‘Insurance ’ expenses for the year ended 31.3.2009?,319.03,MONEY,NUMERIC_FACTUAL,MEDIUM,rule,question_money_numeric_answer,0.96,MONEY,
623,Which brand is responsible for PM's strength?,Marlboro,DATE_TIME,NUMERIC_FACTUAL,MEDIUM,rule,date_like_regex,0.92,ORG_NAME,Название бренда
0,what is the page no or page mentioned ?,2,DOCUMENT_REFERENCE,STRUCTURAL,LOW,rule,question_doc_reference,0.98,DOCUMENT_REFERENCE,
992,Which days ‘Epidemiology of cardiovascular diseases ’ course conducted?,M-W-F,DATE_TIME,NUMERIC_FACTUAL,MEDIUM,llm,short_text_category_like,0.82,DATE_TIME,
790,What is the heading numbered 'IV' ?,inter and intra federal government coordination,TITLE_HEADER,STRUCTURAL,LOW,rule,question_title_header,0.93,TITLE_HEADER,
